id_fuente,suma_EFA,suma_GEE,Descuento_FNCE,Descuento_GEE,FNCE,GEE,GEE_final
140408.0,0,0,0.0,0.0,0.0,0.0,0.0
140415.0,7734,0,3867.0,0.0,3867.0,0.0,0.0
140418.0,0,0,0.0,0.0,0.0,0.0,0.0
140419.0,80000,0,40000.0,0.0,40000.0,0.0,0.0
140420.0,0,3676,0.0,1838.0,0.0,1838.0,1838.0
140460.0,0,0,0.0,0.0,0.0,0.0,0.0
140471.0,0,0,0.0,0.0,0.0,0.0,0.0
140474.0,103382,0,51691.0,0.0,51691.0,0.0,0.0
140475.0,0,0,0.0,0.0,0.0,0.0,0.0
140540.0,0,100,0.0,50.0,0.0,50.0,50.0
140541.0,0,0,0.0,0.0,0.0,0.0,0.0
140542.0,0,0,0.0,0.0,0.0,0.0,0.0
140543.0,103382,0,51691.0,0.0,51691.0,0.0,0.0
140544.0,0,0,0.0,0.0,0.0,0.0,0.0
140545.0,0,0,0.0,0.0,0.0,0.0,0.0
140547.0,0,450,0.0,225.0,0.0,225.0,225.0
140548.0,0,0,0.0,0.0,0.0,0.0,0.0
140550.0,0,0,0.0,0.0,0.0,0.0,0.0
140553.0,0,0,0.0,0.0,0.0,0.0,0.0
140567.0,0,0,0.0,0.0,0.0,0.0,0.0
140577.0,0,0,0.0,0.0,0.0,0.0,0.0
140578.0,0,0,0.0,0.0,0.0,0.0,0.0
140580.0,0,0,0.0,0.0,0.0,0.0,0.0
140607.0,0,0,0.0,0.0,0.0,0.0,0.0
140608.0,0,0,0.0,0.0,0.0,0.0,0.0
140635.0,0,0,0.0,0.0,0.0,0.0,0.0
140636.0,0,0,0.0,0.0,0.0,0.0,0.0
140657.0,0,0,0.0,0.0,0.0,0.0,0.0
140663.0,0,0,0.0,0.0,0.0,0.0,0.0
140666.0,0,0,0.0,0.0,0.0,0.0,0.0
140667.0,0,0,0.0,0.0,0.0,0.0,0.0
140671.0,0,14652,0.0,7326.0,0.0,7326.0,7326.0
