id_fuente,region,FNCE,Descuento_FNCE,GEE_final,Descuento_GEE,Sugerencia
141076.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141079.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141097.0,2,0.0,0.0,759414.875,788810.375,Considerar invertir en EFA
141099.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141592.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141594.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141596.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141597.0,6,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141605.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141607.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141617.0,2,1808.5,1808.5,403.75,403.75,Considerar invertir en GEE
141620.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141622.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141625.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141628.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141632.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141637.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141638.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141639.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141643.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141644.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141645.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141648.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141649.0,3,1186408.5,1186408.5,0.0,0.0,Considerar invertir en GEE
141650.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141652.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141656.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141657.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141665.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141667.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141671.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141672.0,6,12410.0,12410.0,669.75,669.75,Considerar invertir en GEE
141676.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141692.0,3,0.0,0.0,108672.875,108672.875,Considerar invertir en EFA
141693.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141695.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141701.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141703.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141708.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141710.0,5,0.0,0.0,11162.5,11162.5,Considerar invertir en EFA
141711.0,5,0.0,0.0,35625.0,35625.0,Considerar invertir en EFA
141712.0,3,0.0,0.0,57484.375,59984.375,Considerar invertir en EFA
141713.0,5,0.0,0.0,22875.0,25375.0,Considerar invertir en EFA
141714.0,4,48423.0,48423.0,14224.375,15349.375,Considerar invertir en GEE
141717.0,2,0.0,0.0,27390.875,27390.875,Considerar invertir en EFA
141718.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141720.0,3,0.0,0.0,13879.5,13879.5,Considerar invertir en EFA
141721.0,5,0.0,0.0,4436.5,4436.5,Considerar invertir en EFA
141724.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141726.0,1,44072.5,44072.5,0.0,0.0,Considerar invertir en GEE
141728.0,3,0.0,0.0,9273.6875,10178.4375,Considerar invertir en EFA
141734.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141737.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141739.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141742.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141743.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141749.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141752.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141755.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141756.0,2,0.0,0.0,959.5,959.5,Considerar invertir en EFA
141763.0,4,0.0,0.0,5970.75,5970.75,Considerar invertir en EFA
141765.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141774.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141778.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141781.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141784.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141799.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141804.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141810.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141811.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141812.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141814.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
