id_fuente,cod_div_ind,region,año,inv tierras y terrenos EFA,inv maquinaria y equipo EFA,inv construcciones y edificaciones EFA,inversión total EFA,materiales y suministros EFA,pequeñas herramientas EFA,mantenimiento de equipos EFA,"medición, control y análisis EFA",total costos y gastos EFA,total inversión y gastos EFA,inv maquinaria y equipo (GEE),inv construcciones y edificaciones (GEE),inversión total (GEE),materiales y suministros (GEE),pequeñas herramientas (GEE),mantenimiento de equipos (GEE),"medición, control y análisis (GEE)",total costos y gastos (GEE),total inversión y gastos (GEE)
140745.0,5,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140747.0,8,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140748.0,8,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140749.0,6,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140750.0,6,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140760.0,6,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140833.0,3,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140902.0,8,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140958.0,8,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141005.0,6,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141006.0,6,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141013.0,6,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141017.0,6,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141021.0,6,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141022.0,6,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141029.0,6,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141033.0,6,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141035.0,1,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
