CODIGO_REGISTRO;CODIGO_ACTIVIDAD;CODIGO_REGION;FACTOR_EXPANSION;C1INVR1C1A2;C1INVR1C1A3;C1INVR1T2;C1CYGR1C1G1;C1CYGR1C1G2;C1CYGR1C1G3;MCAPCOATM;C1CYGR1T2;C1IYGTOTR1C1;C1INVR1C2A1;C1INVR1C2A2;C1INVR1C2A3;C1INVR1T3;C1CYGR1C2G1;C1CYGR1C2G2;C1CYGR1C2G3;MCATRGEAV;C1CYGR1T3;C1IYGTOTR1C2;C1IYGTOTR1;C1INVR2A1A2;C1INVR2A1A3;C1INVR2T6;C1CYGR2A1G1;C1CYGR2A1G2;C1CYGR2A1G3;MCAPCAGRE;C1CYGR2T6;C1IYGTOTR2A1;C1INVR2A2A1;C1INVR2A2A2;C1INVR2A2A3;C1INVR2T7;C1CYGR2A2G1;C1CYGR2A2G2;C1CYGR2A2G3;MCATRATGR;C1CYGR2T7;C1IYGTOTR2A2;C1IYGTOTR2;C1INVR3R1A2;C1INVR3R1A3;C1INVR3T10;C1CYGR3R1G1;C1CYGR3R1G2;C1CYGR3R1G3;MCAPPRESM;C1CYGR3T10;C1IYGTOTR3R1;C1INVR3R2A1;C1INVR3R2A2;C1INVR3R2A3;C1INVR3T11;C1CYGR3R2G1;C1CYGR3R2G2;C1CYGR3R2G3;MCATERESP;C1CYGR3T11;C1IYGTOTR3R2;C1INVR3R3A1;C1INVR3R3A2;C1INVR3R3A3;C1INVR3T12;C1CYGR3R3G1;C1CYGR3R3G2;C1CYGR3R3G3;MCAELRNOP;C1CYGR3T12;C1IYGTOTR3R3;C1IYGTOTR3;TYTPRINCON;MYEPRINCON;CYEPRINCON;TINPRINCON;MPSPRINCON;PHEPRINCON;MREPRINCON;MCAPRINCON;TCGPRINCON;INGAPRINCON;TYTDESUCUA;MYEDESUCUA;CYEDESUCUA;TINDESUCUA;MPSDESUCUA;PHEDESUCUA;MREDESUCUA;MCADESUCUA;TCGDESUCUA;INGADESUCUA;C1IYGTOTR4;C1INVR5R1A2;C1INVR5R1A3;C1INVR5T16;C1CYGR5R1G2;C1CYGR5R1G3;MACMOPRLO;C1CYGR5T16;C1IYGTOTR5R1;C1INVR5R2A3;C1INVR5T17;C1CYGR5R2G2;C1CYGR5R2G3;MCACODIAR;C1CYGR5T17;C1IYGTOTR5R2;C1IYGTOTR5;C1INVR6A1;C1INVR6A3;C1INVR6T19;C1CYGR6G2;MCAVTPRBIP;C1CYGR6T19;C1INVTOTA1;C1INVTOTA2;C1INVTOTA3;C1INVTOT21;C1CYGTOTG1;C1CYGTOTG2;C1CYGTOTG3;TOTAMCAE;C1CYGTOT21;C1IYGTOT;C1IYGTOTR6;C1INYGRMYE;C1MAEQRCEN;C1CYERCEN;C1INVRECEN;C1MASUMRCEN;C1PEHERRCEN;C1MANTEQRCEN;C1MCANRCEN;C1TCYGRCEN;C1IYGTRCEN;C1TIYTGENALT;C1MAEQENALT;C1CYEENALT;C1INVENALT;C1MASUMENALT;C1PEHERENALT;C1MANTEQENALT;C1MCANENALT;C1TCYGENALT;C1IYGTENALT
986588;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1828;5670;1904;9402;9402;9402;0;0;0;0;0;0;0;0;0;0;0;300;300;0;0;825;0;825;1125;1125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;300;0;1828;6495;1904;10227;10527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
986589;1;5;1;0;0;0;16280;0;14990;0;31270;31270;0;0;0;0;0;0;0;15598;15598;15598;46868;0;0;0;0;0;0;0;0;0;0;0;0;0;385458;81047;129030;18843;614378;614378;614378;0;0;0;0;0;29455;0;29455;29455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29455;0;0;0;0;0;0;2037;0;2037;2037;0;0;0;0;0;0;0;0;0;0;2037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;401738;81047;175512;34441;692738;692738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
986601;1;5;1;0;0;0;0;0;590;1022;1612;1612;0;0;0;0;0;0;0;0;0;0;1612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4452;4452;4452;4452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;590;5474;6064;6064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
986610;3;2;7,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
986617;1;5;8,527777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
986618;1;5;1;0;0;0;20000;0;24628;0;44628;44628;0;0;0;0;0;0;0;5384;5384;5384;50012;0;0;0;0;0;0;0;0;0;0;6168;0;6168;1943;71;0;2406;4420;10588;10588;0;0;0;49479;0;0;0;49479;49479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49479;0;0;0;0;120;0;0;0;120;120;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6168;0;6168;71542;71;24628;7790;104031;110199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
986620;9;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13574;0;0;0;13574;13574;0;0;0;0;0;0;0;0;0;0;13574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13574;0;0;0;13574;13574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
986645;1;1;1;0;0;0;0;0;48244;0;48244;48244;0;0;0;0;0;0;0;0;0;0;48244;39076;0;39076;0;0;0;0;0;39076;0;9443;0;9443;0;0;57254;34643;91897;101340;140416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1800;1800;1800;1800;0;0;0;0;0;0;0;129519;0;129519;0;0;165775;36443;202218;331737;0;141277;81000;0;81000;0;0;60277;0;60277;141277;0;0;0;0;0;0;0;0;0;0
986657;4;1;1;0;0;0;193;11565;21299;9005;42063;42063;0;38094;0;38094;93467;0;132519;20794;246780;284874;326937;0;0;0;0;624;5400;0;6024;6024;0;0;3686201;3686201;138877;0;45943;63750;248570;3934771;3940795;0;0;0;0;0;840;0;840;840;0;0;0;0;0;0;250;0;250;250;0;0;0;0;0;0;0;0;0;0;1090;0;0;0;0;0;0;53010;35278;88288;88288;0;0;0;0;0;0;8936;0;8936;8936;97224;0;2540;2540;0;444;0;444;2984;0;0;0;826;756;1582;1582;4566;0;0;0;1600;3465;5065;0;38094;3688741;3726835;235002;13789;270535;133048;652373;4379208;5065;3532;0;0;0;2464;0;1068;0;3532;3532;0;0;0;0;0;0;0;0;0;0
986660;6;1;5,833333333;34000;0;34000;0;0;232509;13000;245509;279509;0;0;0;0;0;0;0;0;0;0;279509;0;0;0;0;0;0;0;0;0;0;0;0;0;2946;0;0;2646;5592;5592;5592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2530;2530;2530;2530;0;0;0;0;0;0;0;34000;0;34000;2946;0;232509;18176;253631;287631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
986661;6;1;1;0;0;0;0;0;27482;31554;59036;59036;0;0;0;0;0;0;0;0;0;0;59036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7730;0;7730;7730;7730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6100;6100;6100;0;0;0;0;0;0;0;0;0;0;6100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35212;37654;72866;72866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
986663;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
986664;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3720;0;2480;0;6200;6200;6200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3720;0;2480;0;6200;6200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
986675;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
986679;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;51873;0;0;0;51873;51873;51873;0;0;0;0;0;0;0;0;0;0;0;0;0;150003;0;0;15800;165803;165803;165803;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11970;0;5600;0;17570;17570;17570;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;428718;0;5600;15800;450118;450118;0;214872;0;0;0;214872;0;0;0;214872;214872;0;0;0;0;0;0;0;0;0;0
986688;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;258902;52033;310935;310935;310935;0;0;0;0;0;34903;0;34903;34903;0;0;0;0;0;0;24000;39806;63806;63806;98709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45500;45500;0;0;0;0;0;0;317805;137339;455144;455144;45500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
986729;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1257;0;3351;6576;11184;11184;11184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4777;4777;0;0;0;0;0;4777;4777;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3000;0;3000;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4777;4777;1257;0;6351;6576;14184;18961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
986760;1;1;1;0;0;0;0;0;65102;4280;69382;69382;0;0;0;0;0;0;0;0;0;0;69382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4358;4358;4358;4358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65102;8638;73740;73740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
